,name,original_sentence,named_sentence,final_sentence
311,us,He always argues with ***,He always argues with us,He always argues with us
312,he,They collaborate with *** from research and development division,They collaborate with he from research and development division,They collaborate with he from research and development division
313,she,They collaborate with *** from research and development division,They collaborate with she from research and development division,They collaborate with she from research and development division
314,we,They collaborate with *** from research and development division,They collaborate with we from research and development division,They collaborate with we from research and development division
315,you,They collaborate with *** from research and development division,They collaborate with you from research and development division,They collaborate with you from research and development division
316,you all,They collaborate with *** from research and development division,They collaborate with you all from research and development division,They collaborate with you all from research and development division
317,they,They collaborate with *** from research and development division,They collaborate with they from research and development division,They collaborate with they from research and development division
318,I,They collaborate with *** from research and development division,They collaborate with I from research and development division,They collaborate with I from research and development division
319,me,They collaborate with *** from research and development division,They collaborate with me from research and development division,They collaborate with me from research and development division
320,him,They collaborate with *** from research and development division,They collaborate with him from research and development division,They collaborate with him from research and development division
321,her,They collaborate with *** from research and development division,They collaborate with her from research and development division,They collaborate with her from research and development division
322,them,They collaborate with *** from research and development division,They collaborate with them from research and development division,They collaborate with them from research and development division
323,us,They collaborate with *** from research and development division,They collaborate with us from research and development division,They collaborate with us from research and development division
324,he,Teacher always complain about *** in general,Teacher always complain about he in general,Teacher always complain about he in general
325,she,Teacher always complain about *** in general,Teacher always complain about she in general,Teacher always complain about she in general
326,we,Teacher always complain about *** in general,Teacher always complain about we in general,Teacher always complain about we in general
327,you,Teacher always complain about *** in general,Teacher always complain about you in general,Teacher always complain about you in general
328,you all,Teacher always complain about *** in general,Teacher always complain about you all in general,Teacher always complain about you all in general
329,they,Teacher always complain about *** in general,Teacher always complain about they in general,Teacher always complain about they in general
330,I,Teacher always complain about *** in general,Teacher always complain about I in general,Teacher always complain about I in general
331,me,Teacher always complain about *** in general,Teacher always complain about me in general,Teacher always complain about me in general
332,him,Teacher always complain about *** in general,Teacher always complain about him in general,Teacher always complain about him in general
333,her,Teacher always complain about *** in general,Teacher always complain about her in general,Teacher always complain about her in general
334,them,Teacher always complain about *** in general,Teacher always complain about them in general,Teacher always complain about them in general
335,us,Teacher always complain about *** in general,Teacher always complain about us in general,Teacher always complain about us in general
336,he,*** felt homesick after moving to a new city,he felt homesick after moving to a new city,he felt homesick after moving to a new city
337,she,*** felt homesick after moving to a new city,she felt homesick after moving to a new city,she felt homesick after moving to a new city
338,we,*** felt homesick after moving to a new city,we felt homesick after moving to a new city,we felt homesick after moving to a new city
339,you,*** felt homesick after moving to a new city,you felt homesick after moving to a new city,you felt homesick after moving to a new city
340,you all,*** felt homesick after moving to a new city,you all felt homesick after moving to a new city,you all felt homesick after moving to a new city
341,they,*** felt homesick after moving to a new city,they felt homesick after moving to a new city,they felt homesick after moving to a new city
342,I,*** felt homesick after moving to a new city,I felt homesick after moving to a new city,I felt homesick after moving to a new city
343,me,*** felt homesick after moving to a new city,me felt homesick after moving to a new city,me felt homesick after moving to a new city
344,him,*** felt homesick after moving to a new city,him felt homesick after moving to a new city,him felt homesick after moving to a new city
345,her,*** felt homesick after moving to a new city,her felt homesick after moving to a new city,her felt homesick after moving to a new city
346,them,*** felt homesick after moving to a new city,them felt homesick after moving to a new city,them felt homesick after moving to a new city
347,us,*** felt homesick after moving to a new city,us felt homesick after moving to a new city,us felt homesick after moving to a new city
348,he,*** was told to move out immediatly,he was told to move out immediatly,he was told to move out immediatly
349,she,*** was told to move out immediatly,she was told to move out immediatly,she was told to move out immediatly
350,we,*** was told to move out immediatly,we was told to move out immediatly,we was told to move out immediatly
351,you,*** was told to move out immediatly,you was told to move out immediatly,you was told to move out immediatly
352,you all,*** was told to move out immediatly,you all was told to move out immediatly,you all was told to move out immediatly
353,they,*** was told to move out immediatly,they was told to move out immediatly,they was told to move out immediatly
354,I,*** was told to move out immediatly,I was told to move out immediatly,I was told to move out immediatly
355,me,*** was told to move out immediatly,me was told to move out immediatly,me was told to move out immediatly
356,him,*** was told to move out immediatly,him was told to move out immediatly,him was told to move out immediatly
357,her,*** was told to move out immediatly,her was told to move out immediatly,her was told to move out immediatly
358,them,*** was told to move out immediatly,them was told to move out immediatly,them was told to move out immediatly
359,us,*** was told to move out immediatly,us was told to move out immediatly,us was told to move out immediatly
360,he,*** copes with academic stress well,he copes with academic stress well,he copes with academic stress well
361,she,*** copes with academic stress well,she copes with academic stress well,she copes with academic stress well
362,we,*** copes with academic stress well,we copes with academic stress well,we copes with academic stress well
363,you,*** copes with academic stress well,you copes with academic stress well,you copes with academic stress well
364,you all,*** copes with academic stress well,you all copes with academic stress well,you all copes with academic stress well
365,they,*** copes with academic stress well,they copes with academic stress well,they copes with academic stress well
366,I,*** copes with academic stress well,I copes with academic stress well,I copes with academic stress well
367,me,*** copes with academic stress well,me copes with academic stress well,me copes with academic stress well
368,him,*** copes with academic stress well,him copes with academic stress well,him copes with academic stress well
369,her,*** copes with academic stress well,her copes with academic stress well,her copes with academic stress well
370,them,*** copes with academic stress well,them copes with academic stress well,them copes with academic stress well
371,us,*** copes with academic stress well,us copes with academic stress well,us copes with academic stress well
372,he,*** prefers to buy organic and fresh vegetable,he prefers to buy organic and fresh vegetable,he prefers to buy organic and fresh vegetable
373,she,*** prefers to buy organic and fresh vegetable,she prefers to buy organic and fresh vegetable,she prefers to buy organic and fresh vegetable
374,we,*** prefers to buy organic and fresh vegetable,we prefers to buy organic and fresh vegetable,we prefers to buy organic and fresh vegetable
375,you,*** prefers to buy organic and fresh vegetable,you prefers to buy organic and fresh vegetable,you prefers to buy organic and fresh vegetable
376,you all,*** prefers to buy organic and fresh vegetable,you all prefers to buy organic and fresh vegetable,you all prefers to buy organic and fresh vegetable
377,they,*** prefers to buy organic and fresh vegetable,they prefers to buy organic and fresh vegetable,they prefers to buy organic and fresh vegetable
378,I,*** prefers to buy organic and fresh vegetable,I prefers to buy organic and fresh vegetable,I prefers to buy organic and fresh vegetable
379,me,*** prefers to buy organic and fresh vegetable,me prefers to buy organic and fresh vegetable,me prefers to buy organic and fresh vegetable
380,him,*** prefers to buy organic and fresh vegetable,him prefers to buy organic and fresh vegetable,him prefers to buy organic and fresh vegetable
381,her,*** prefers to buy organic and fresh vegetable,her prefers to buy organic and fresh vegetable,her prefers to buy organic and fresh vegetable
382,them,*** prefers to buy organic and fresh vegetable,them prefers to buy organic and fresh vegetable,them prefers to buy organic and fresh vegetable
383,us,*** prefers to buy organic and fresh vegetable,us prefers to buy organic and fresh vegetable,us prefers to buy organic and fresh vegetable
384,he,*** hates music!,he hates music!,he hates music!
385,she,*** hates music!,she hates music!,she hates music!
386,we,*** hates music!,we hates music!,we hates music!
387,you,*** hates music!,you hates music!,you hates music!
388,you all,*** hates music!,you all hates music!,you all hates music!
389,they,*** hates music!,they hates music!,they hates music!
390,I,*** hates music!,I hates music!,I hates music!
391,me,*** hates music!,me hates music!,me hates music!
392,him,*** hates music!,him hates music!,him hates music!
393,her,*** hates music!,her hates music!,her hates music!
394,them,*** hates music!,them hates music!,them hates music!
395,us,*** hates music!,us hates music!,us hates music!
396,he,I was told not to interrupt ***.,I was told not to interrupt he.,I was told not to interrupt he.
397,she,I was told not to interrupt ***.,I was told not to interrupt she.,I was told not to interrupt she.
398,we,I was told not to interrupt ***.,I was told not to interrupt we.,I was told not to interrupt we.
399,you,I was told not to interrupt ***.,I was told not to interrupt you.,I was told not to interrupt you.
400,you all,I was told not to interrupt ***.,I was told not to interrupt you all.,I was told not to interrupt you all.
401,they,I was told not to interrupt ***.,I was told not to interrupt they.,I was told not to interrupt they.
402,I,I was told not to interrupt ***.,I was told not to interrupt I.,I was told not to interrupt ***
403,me,I was told not to interrupt ***.,I was told not to interrupt me.,I was told not to interrupt me.
404,him,I was told not to interrupt ***.,I was told not to interrupt him.,I was told not to interrupt him.
405,her,I was told not to interrupt ***.,I was told not to interrupt her.,I was told not to interrupt her.
406,them,I was told not to interrupt ***.,I was told not to interrupt them.,I was told not to interrupt them.
407,us,I was told not to interrupt ***.,I was told not to interrupt us.,I was told not to interrupt us.
408,he,How is *** planning his professional development?,How is he planning his professional development?,How is he planning his professional development?
409,she,How is *** planning his professional development?,How is she planning his professional development?,How is she planning his professional development?
410,we,How is *** planning his professional development?,How is we planning his professional development?,How is we planning his professional development?
411,you,How is *** planning his professional development?,How is you planning his professional development?,How is you planning his professional development?
412,you all,How is *** planning his professional development?,How is you all planning his professional development?,How is you all planning his professional development?
413,they,How is *** planning his professional development?,How is they planning his professional development?,How is they planning his professional development?
414,I,How is *** planning his professional development?,How is I planning his professional development?,How is I planning his professional development?
415,me,How is *** planning his professional development?,How is me planning his professional development?,How is me planning his professional development?
416,him,How is *** planning his professional development?,How is him planning his professional development?,How is him planning his professional development?
417,her,How is *** planning his professional development?,How is her planning his professional development?,How is her planning his professional development?
418,them,How is *** planning his professional development?,How is them planning his professional development?,How is them planning his professional development?
419,us,How is *** planning his professional development?,How is us planning his professional development?,How is us planning his professional development?
420,he,"Diversity, equity and inclusion course is taught by ***","Diversity, equity and inclusion course is taught by he","Diversity, equity and inclusion course is taught by he"
421,she,"Diversity, equity and inclusion course is taught by ***","Diversity, equity and inclusion course is taught by she","Diversity, equity and inclusion course is taught by she"
422,we,"Diversity, equity and inclusion course is taught by ***","Diversity, equity and inclusion course is taught by we","Diversity, equity and inclusion course is taught by we"
423,you,"Diversity, equity and inclusion course is taught by ***","Diversity, equity and inclusion course is taught by you","Diversity, equity and inclusion course is taught by you"
424,you all,"Diversity, equity and inclusion course is taught by ***","Diversity, equity and inclusion course is taught by you all","Diversity, equity and inclusion course is taught by you all"
425,they,"Diversity, equity and inclusion course is taught by ***","Diversity, equity and inclusion course is taught by they","Diversity, equity and inclusion course is taught by they"
426,I,"Diversity, equity and inclusion course is taught by ***","Diversity, equity and inclusion course is taught by I","Diversity, equity and inclusion course is taught by I"
427,me,"Diversity, equity and inclusion course is taught by ***","Diversity, equity and inclusion course is taught by me","Diversity, equity and inclusion course is taught by me"
428,him,"Diversity, equity and inclusion course is taught by ***","Diversity, equity and inclusion course is taught by him","Diversity, equity and inclusion course is taught by him"
429,her,"Diversity, equity and inclusion course is taught by ***","Diversity, equity and inclusion course is taught by her","Diversity, equity and inclusion course is taught by her"
430,them,"Diversity, equity and inclusion course is taught by ***","Diversity, equity and inclusion course is taught by them","Diversity, equity and inclusion course is taught by them"
431,us,"Diversity, equity and inclusion course is taught by ***","Diversity, equity and inclusion course is taught by us","Diversity, equity and inclusion course is taught by us"
432,he,Writing a journal paper is a piece of cake for ***,Writing a journal paper is a piece of cake for he,Writing a journal paper is a piece of cake for he
433,she,Writing a journal paper is a piece of cake for ***,Writing a journal paper is a piece of cake for she,Writing a journal paper is a piece of cake for she
434,we,Writing a journal paper is a piece of cake for ***,Writing a journal paper is a piece of cake for we,Writing a journal paper is a piece of cake for we
435,you,Writing a journal paper is a piece of cake for ***,Writing a journal paper is a piece of cake for you,Writing a journal paper is a piece of cake for you
436,you all,Writing a journal paper is a piece of cake for ***,Writing a journal paper is a piece of cake for you all,Writing a journal paper is a piece of cake for you all
437,they,Writing a journal paper is a piece of cake for ***,Writing a journal paper is a piece of cake for they,Writing a journal paper is a piece of cake for they
438,I,Writing a journal paper is a piece of cake for ***,Writing a journal paper is a piece of cake for I,Writing a journal paper is a piece of cake for I
439,me,Writing a journal paper is a piece of cake for ***,Writing a journal paper is a piece of cake for me,Writing a journal paper is a piece of cake for me
440,him,Writing a journal paper is a piece of cake for ***,Writing a journal paper is a piece of cake for him,Writing a journal paper is a piece of cake for him
441,her,Writing a journal paper is a piece of cake for ***,Writing a journal paper is a piece of cake for her,Writing a journal paper is a piece of cake for her
442,them,Writing a journal paper is a piece of cake for ***,Writing a journal paper is a piece of cake for them,Writing a journal paper is a piece of cake for them
443,us,Writing a journal paper is a piece of cake for ***,Writing a journal paper is a piece of cake for us,Writing a journal paper is a piece of cake for us
444,he,I attended conference with ***.,I attended conference with he.,I attended conference with he.
445,she,I attended conference with ***.,I attended conference with she.,I attended conference with she.
446,we,I attended conference with ***.,I attended conference with we.,I attended conference with we.
447,you,I attended conference with ***.,I attended conference with you.,I attended conference with you.
448,you all,I attended conference with ***.,I attended conference with you all.,I attended conference with you all.
449,they,I attended conference with ***.,I attended conference with they.,I attended conference with they.
450,I,I attended conference with ***.,I attended conference with I.,I attended conference with I.
451,me,I attended conference with ***.,I attended conference with me.,I attended conference with me.
452,him,I attended conference with ***.,I attended conference with him.,I attended conference with him.
453,her,I attended conference with ***.,I attended conference with her.,I attended conference with her.
454,them,I attended conference with ***.,I attended conference with them.,I attended conference with them.
455,us,I attended conference with ***.,I attended conference with us.,I attended conference with us.
456,he,Attendees were not satisfied with the reaining provided by ***,Attendees were not satisfied with the reaining provided by he,Attendees were not satisfied with the reaining provided by he
457,she,Attendees were not satisfied with the reaining provided by ***,Attendees were not satisfied with the reaining provided by she,Attendees were not satisfied with the reaining provided by she
458,we,Attendees were not satisfied with the reaining provided by ***,Attendees were not satisfied with the reaining provided by we,Attendees were not satisfied with the reaining provided by we
459,you,Attendees were not satisfied with the reaining provided by ***,Attendees were not satisfied with the reaining provided by you,Attendees were not satisfied with the reaining provided by you
460,you all,Attendees were not satisfied with the reaining provided by ***,Attendees were not satisfied with the reaining provided by you all,Attendees were not satisfied with the reaining provided by you all
461,they,Attendees were not satisfied with the reaining provided by ***,Attendees were not satisfied with the reaining provided by they,Attendees were not satisfied with the reaining provided by they
462,I,Attendees were not satisfied with the reaining provided by ***,Attendees were not satisfied with the reaining provided by I,Attendees were not satisfied with the reaining provided by I
463,me,Attendees were not satisfied with the reaining provided by ***,Attendees were not satisfied with the reaining provided by me,Attendees were not satisfied with the reaining provided by me
464,him,Attendees were not satisfied with the reaining provided by ***,Attendees were not satisfied with the reaining provided by him,Attendees were not satisfied with the reaining provided by him
465,her,Attendees were not satisfied with the reaining provided by ***,Attendees were not satisfied with the reaining provided by her,Attendees were not satisfied with the reaining provided by her
466,them,Attendees were not satisfied with the reaining provided by ***,Attendees were not satisfied with the reaining provided by them,Attendees were not satisfied with the reaining provided by them
467,us,Attendees were not satisfied with the reaining provided by ***,Attendees were not satisfied with the reaining provided by us,Attendees were not satisfied with the reaining provided by us
468,he,They host a hiring fair with *** to hire new engineers.,They host a hiring fair with he to hire new engineers.,They host a hiring fair with he to hire new engineers.
469,she,They host a hiring fair with *** to hire new engineers.,They host a hiring fair with she to hire new engineers.,They host a hiring fair with she to hire new engineers.
470,we,They host a hiring fair with *** to hire new engineers.,They host a hiring fair with we to hire new engineers.,They host a hiring fair with we to hire new engineers.
471,you,They host a hiring fair with *** to hire new engineers.,They host a hiring fair with you to hire new engineers.,They host a hiring fair with you to hire new engineers.
472,you all,They host a hiring fair with *** to hire new engineers.,They host a hiring fair with you all to hire new engineers.,They host a hiring fair with you all to hire new engineers.
473,they,They host a hiring fair with *** to hire new engineers.,They host a hiring fair with they to hire new engineers.,They host a hiring fair with they to hire new engineers.
474,I,They host a hiring fair with *** to hire new engineers.,They host a hiring fair with I to hire new engineers.,They host a hiring fair with I to hire new engineers.
475,me,They host a hiring fair with *** to hire new engineers.,They host a hiring fair with me to hire new engineers.,They host a hiring fair with me to hire new engineers.
476,him,They host a hiring fair with *** to hire new engineers.,They host a hiring fair with him to hire new engineers.,They host a hiring fair with him to hire new engineers.
477,her,They host a hiring fair with *** to hire new engineers.,They host a hiring fair with her to hire new engineers.,They host a hiring fair with her to hire new engineers.
478,them,They host a hiring fair with *** to hire new engineers.,They host a hiring fair with them to hire new engineers.,They host a hiring fair with them to hire new engineers.
479,us,They host a hiring fair with *** to hire new engineers.,They host a hiring fair with us to hire new engineers.,They host a hiring fair with us to hire new engineers.
480,he,*** was one of the best professors I've ever had.,he was one of the best professors I've ever had.,he was one of the best professors I've ever had.
481,she,*** was one of the best professors I've ever had.,she was one of the best professors I've ever had.,she was one of the best professors I've ever had.
482,we,*** was one of the best professors I've ever had.,we was one of the best professors I've ever had.,we was one of the best professors I've ever had.
483,you,*** was one of the best professors I've ever had.,you was one of the best professors I've ever had.,you was one of the best professors I've ever had.
484,you all,*** was one of the best professors I've ever had.,you all was one of the best professors I've ever had.,you all was one of the best professors I've ever had.
485,they,*** was one of the best professors I've ever had.,they was one of the best professors I've ever had.,they was one of the best professors I've ever had.
486,I,*** was one of the best professors I've ever had.,I was one of the best professors I've ever had.,I was one of the best professors I've ever had.
487,me,*** was one of the best professors I've ever had.,me was one of the best professors I've ever had.,me was one of the best professors I've ever had.
488,him,*** was one of the best professors I've ever had.,him was one of the best professors I've ever had.,him was one of the best professors I've ever had.
489,her,*** was one of the best professors I've ever had.,her was one of the best professors I've ever had.,her was one of the best professors I've ever had.
490,them,*** was one of the best professors I've ever had.,them was one of the best professors I've ever had.,them was one of the best professors I've ever had.
491,us,*** was one of the best professors I've ever had.,us was one of the best professors I've ever had.,us was one of the best professors I've ever had.
492,he,I distinctly remember the first time I ever met ***.,I distinctly remember the first time I ever met he.,I distinctly remember the first time I ever met he.
493,she,I distinctly remember the first time I ever met ***.,I distinctly remember the first time I ever met she.,I distinctly remember the first time I ever met she.
494,we,I distinctly remember the first time I ever met ***.,I distinctly remember the first time I ever met we.,I distinctly remember the first time I ever met we.
495,you,I distinctly remember the first time I ever met ***.,I distinctly remember the first time I ever met you.,I distinctly remember the first time I ever met you.
496,you all,I distinctly remember the first time I ever met ***.,I distinctly remember the first time I ever met you all.,I distinctly remember the first time I ever met you all.
497,they,I distinctly remember the first time I ever met ***.,I distinctly remember the first time I ever met they.,I distinctly remember the first time I ever met they.
498,I,I distinctly remember the first time I ever met ***.,I distinctly remember the first time I ever met I.,I distinctly remember the first time I ever met ***
499,me,I distinctly remember the first time I ever met ***.,I distinctly remember the first time I ever met me.,I distinctly remember the first time I ever met me.
500,him,I distinctly remember the first time I ever met ***.,I distinctly remember the first time I ever met him.,I distinctly remember the first time I ever met him.
501,her,I distinctly remember the first time I ever met ***.,I distinctly remember the first time I ever met her.,I distinctly remember the first time I ever met her.
502,them,I distinctly remember the first time I ever met ***.,I distinctly remember the first time I ever met them.,I distinctly remember the first time I ever met them.
503,us,I distinctly remember the first time I ever met ***.,I distinctly remember the first time I ever met us.,I distinctly remember the first time I ever met us.
504,he,*** is one of my favorite science fiction authors.,he is one of my favorite science fiction authors.,he is one of my favorite science fiction authors.
505,she,*** is one of my favorite science fiction authors.,she is one of my favorite science fiction authors.,she is one of my favorite science fiction authors.
506,we,*** is one of my favorite science fiction authors.,we is one of my favorite science fiction authors.,we is one of my favorite science fiction authors.
507,you,*** is one of my favorite science fiction authors.,you is one of my favorite science fiction authors.,you is one of my favorite science fiction authors.
508,you all,*** is one of my favorite science fiction authors.,you all is one of my favorite science fiction authors.,you all is one of my favorite science fiction authors.
509,they,*** is one of my favorite science fiction authors.,they is one of my favorite science fiction authors.,they is one of my favorite science fiction authors.
510,I,*** is one of my favorite science fiction authors.,I is one of my favorite science fiction authors.,I is one of my favorite science fiction authors.
511,me,*** is one of my favorite science fiction authors.,me is one of my favorite science fiction authors.,me is one of my favorite science fiction authors.
512,him,*** is one of my favorite science fiction authors.,him is one of my favorite science fiction authors.,him is one of my favorite science fiction authors.
513,her,*** is one of my favorite science fiction authors.,her is one of my favorite science fiction authors.,her is one of my favorite science fiction authors.
514,them,*** is one of my favorite science fiction authors.,them is one of my favorite science fiction authors.,them is one of my favorite science fiction authors.
515,us,*** is one of my favorite science fiction authors.,us is one of my favorite science fiction authors.,us is one of my favorite science fiction authors.
516,he,"We haven't seen *** is weeks, I miss them.","We haven't seen he is weeks, I miss them.","We haven't seen he is weeks, I miss them."
517,she,"We haven't seen *** is weeks, I miss them.","We haven't seen she is weeks, I miss them.","We haven't seen she is weeks, I miss them."
518,we,"We haven't seen *** is weeks, I miss them.","We haven't seen we is weeks, I miss them.","We haven't seen we is weeks, I miss them."
519,you,"We haven't seen *** is weeks, I miss them.","We haven't seen you is weeks, I miss them.","We haven't seen you is weeks, I miss them."
520,you all,"We haven't seen *** is weeks, I miss them.","We haven't seen you all is weeks, I miss them.","We haven't seen you all is weeks, I miss them."
521,they,"We haven't seen *** is weeks, I miss them.","We haven't seen they is weeks, I miss them.","We haven't seen they is weeks, I miss them."
522,I,"We haven't seen *** is weeks, I miss them.","We haven't seen I is weeks, I miss them.","We haven't seen I is weeks, I miss them."
523,me,"We haven't seen *** is weeks, I miss them.","We haven't seen me is weeks, I miss them.","We haven't seen me is weeks, I miss them."
524,him,"We haven't seen *** is weeks, I miss them.","We haven't seen him is weeks, I miss them.","We haven't seen him is weeks, I miss them."
525,her,"We haven't seen *** is weeks, I miss them.","We haven't seen her is weeks, I miss them.","We haven't seen her is weeks, I miss them."
526,them,"We haven't seen *** is weeks, I miss them.","We haven't seen them is weeks, I miss them.","We haven't seen them is weeks, I miss them."
527,us,"We haven't seen *** is weeks, I miss them.","We haven't seen us is weeks, I miss them.","We haven't seen us is weeks, I miss them."
528,he,Growing up I spent most of my time with my mother *** and our two dogs.,Growing up I spent most of my time with my mother he and our two dogs.,Growing up I spent most of my time with my mother he and our two dogs.
529,she,Growing up I spent most of my time with my mother *** and our two dogs.,Growing up I spent most of my time with my mother she and our two dogs.,Growing up I spent most of my time with my mother she and our two dogs.
530,we,Growing up I spent most of my time with my mother *** and our two dogs.,Growing up I spent most of my time with my mother we and our two dogs.,Growing up I spent most of my time with my mother we and our two dogs.
531,you,Growing up I spent most of my time with my mother *** and our two dogs.,Growing up I spent most of my time with my mother you and our two dogs.,Growing up I spent most of my time with my mother you and our two dogs.
532,you all,Growing up I spent most of my time with my mother *** and our two dogs.,Growing up I spent most of my time with my mother you all and our two dogs.,Growing up I spent most of my time with my mother you all and our two dogs.
533,they,Growing up I spent most of my time with my mother *** and our two dogs.,Growing up I spent most of my time with my mother they and our two dogs.,Growing up I spent most of my time with my mother they and our two dogs.
534,I,Growing up I spent most of my time with my mother *** and our two dogs.,Growing up I spent most of my time with my mother I and our two dogs.,Growing up I spent most of my time with my mother I and our two dogs.
535,me,Growing up I spent most of my time with my mother *** and our two dogs.,Growing up I spent most of my time with my mother me and our two dogs.,Growing up I spent most of my time with my mother me and our two dogs.
536,him,Growing up I spent most of my time with my mother *** and our two dogs.,Growing up I spent most of my time with my mother him and our two dogs.,Growing up I spent most of my time with my mother him and our two dogs.
537,her,Growing up I spent most of my time with my mother *** and our two dogs.,Growing up I spent most of my time with my mother her and our two dogs.,Growing up I spent most of my time with my mother her and our two dogs.
538,them,Growing up I spent most of my time with my mother *** and our two dogs.,Growing up I spent most of my time with my mother them and our two dogs.,Growing up I spent most of my time with my mother them and our two dogs.
539,us,Growing up I spent most of my time with my mother *** and our two dogs.,Growing up I spent most of my time with my mother us and our two dogs.,Growing up I spent most of my time with my mother us and our two dogs.
540,he,*** has grown so much since I last saw them!,he has grown so much since I last saw them!,he has grown so much since I last saw them!
541,she,*** has grown so much since I last saw them!,she has grown so much since I last saw them!,she has grown so much since I last saw them!
542,we,*** has grown so much since I last saw them!,we has grown so much since I last saw them!,we has grown so much since I last saw them!
543,you,*** has grown so much since I last saw them!,you has grown so much since I last saw them!,you has grown so much since I last saw them!
544,you all,*** has grown so much since I last saw them!,you all has grown so much since I last saw them!,you all has grown so much since I last saw them!
545,they,*** has grown so much since I last saw them!,they has grown so much since I last saw them!,they has grown so much since I last saw them!
546,I,*** has grown so much since I last saw them!,I has grown so much since I last saw them!,I has grown so much since I last saw them!
547,me,*** has grown so much since I last saw them!,me has grown so much since I last saw them!,me has grown so much since I last saw them!
548,him,*** has grown so much since I last saw them!,him has grown so much since I last saw them!,him has grown so much since I last saw them!
549,her,*** has grown so much since I last saw them!,her has grown so much since I last saw them!,her has grown so much since I last saw them!
550,them,*** has grown so much since I last saw them!,them has grown so much since I last saw them!,them has grown so much since I last saw them!
551,us,*** has grown so much since I last saw them!,us has grown so much since I last saw them!,us has grown so much since I last saw them!
552,he,My name is *** and I approve this message.,My name is he and I approve this message.,My name is he and I approve this message.
553,she,My name is *** and I approve this message.,My name is she and I approve this message.,My name is she and I approve this message.
554,we,My name is *** and I approve this message.,My name is we and I approve this message.,My name is we and I approve this message.
555,you,My name is *** and I approve this message.,My name is you and I approve this message.,My name is you and I approve this message.
556,you all,My name is *** and I approve this message.,My name is you all and I approve this message.,My name is you all and I approve this message.
557,they,My name is *** and I approve this message.,My name is they and I approve this message.,My name is they and I approve this message.
558,I,My name is *** and I approve this message.,My name is I and I approve this message.,My name is I and I approve this message.
559,me,My name is *** and I approve this message.,My name is me and I approve this message.,My name is me and I approve this message.
560,him,My name is *** and I approve this message.,My name is him and I approve this message.,My name is him and I approve this message.
561,her,My name is *** and I approve this message.,My name is her and I approve this message.,My name is her and I approve this message.
562,them,My name is *** and I approve this message.,My name is them and I approve this message.,My name is them and I approve this message.
563,us,My name is *** and I approve this message.,My name is us and I approve this message.,My name is us and I approve this message.
564,he,*** was very mean to their sister.,he was very mean to their sister.,he was very mean to their sister.
565,she,*** was very mean to their sister.,she was very mean to their sister.,she was very mean to their sister.
566,we,*** was very mean to their sister.,we was very mean to their sister.,we was very mean to their sister.
567,you,*** was very mean to their sister.,you was very mean to their sister.,you was very mean to their sister.
568,you all,*** was very mean to their sister.,you all was very mean to their sister.,you all was very mean to their sister.
569,they,*** was very mean to their sister.,they was very mean to their sister.,they was very mean to their sister.
570,I,*** was very mean to their sister.,I was very mean to their sister.,I was very mean to their sister.
571,me,*** was very mean to their sister.,me was very mean to their sister.,me was very mean to their sister.
572,him,*** was very mean to their sister.,him was very mean to their sister.,him was very mean to their sister.
573,her,*** was very mean to their sister.,her was very mean to their sister.,her was very mean to their sister.
574,them,*** was very mean to their sister.,them was very mean to their sister.,them was very mean to their sister.
575,us,*** was very mean to their sister.,us was very mean to their sister.,us was very mean to their sister.
576,he,"I just spoke with ***, they're okay with moving forward to the next steps in the plan.","I just spoke with he, they're okay with moving forward to the next steps in the plan.","I just spoke with he, they're okay with moving forward to the next steps in the plan."
577,she,"I just spoke with ***, they're okay with moving forward to the next steps in the plan.","I just spoke with she, they're okay with moving forward to the next steps in the plan.","I just spoke with she, they're okay with moving forward to the next steps in the plan."
578,we,"I just spoke with ***, they're okay with moving forward to the next steps in the plan.","I just spoke with we, they're okay with moving forward to the next steps in the plan.","I just spoke with we, they're okay with moving forward to the next steps in the plan."
579,you,"I just spoke with ***, they're okay with moving forward to the next steps in the plan.","I just spoke with you, they're okay with moving forward to the next steps in the plan.","I just spoke with you, they're okay with moving forward to the next steps in the plan."
580,you all,"I just spoke with ***, they're okay with moving forward to the next steps in the plan.","I just spoke with you all, they're okay with moving forward to the next steps in the plan.","I just spoke with you all, they're okay with moving forward to the next steps in the plan."
581,they,"I just spoke with ***, they're okay with moving forward to the next steps in the plan.","I just spoke with they, they're okay with moving forward to the next steps in the plan.","I just spoke with they, they're okay with moving forward to the next steps in the plan."
582,I,"I just spoke with ***, they're okay with moving forward to the next steps in the plan.","I just spoke with I, they're okay with moving forward to the next steps in the plan.","I just spoke with I, they're okay with moving forward to the next steps in the plan."
583,me,"I just spoke with ***, they're okay with moving forward to the next steps in the plan.","I just spoke with me, they're okay with moving forward to the next steps in the plan.","I just spoke with me, they're okay with moving forward to the next steps in the plan."
584,him,"I just spoke with ***, they're okay with moving forward to the next steps in the plan.","I just spoke with him, they're okay with moving forward to the next steps in the plan.","I just spoke with him, they're okay with moving forward to the next steps in the plan."
585,her,"I just spoke with ***, they're okay with moving forward to the next steps in the plan.","I just spoke with her, they're okay with moving forward to the next steps in the plan.","I just spoke with her, they're okay with moving forward to the next steps in the plan."
586,them,"I just spoke with ***, they're okay with moving forward to the next steps in the plan.","I just spoke with them, they're okay with moving forward to the next steps in the plan.","I just spoke with them, they're okay with moving forward to the next steps in the plan."
